-------------------------------------------------------------------------------
--
-- Title      : List of local and global libraries visible in Library Manager
-- Active-HDL : 8.3.2120.sp1.14.3884 
-- Workspace  : POWERLINK
-- Design     : POWERLINK
-- Author     : zelenkaj
-- Company    : Bernecker + Rainer
-- Date       : 14.11.2011, 09:05:08
--
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Library                                    | Mode  | Vendor   | Version                                          | Comment
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
aldec                                      | RO    | ALDEC    | PROCEDURES FOR CALLING ASDB                      | FSDB, MATLAB, SIGNAL AGENT TASKS FROM THE VHDL CODE, RANDOM PACKAGE
arriaii                                    | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | ARRIAII VHDL LIBRARY
hardcopyiii                                | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | HARDCOPYIII VHDL LIBRARY
hardcopyiv_hssi                            | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | HARDCOPYIV_HSSI VHDL LIBRARY
stratixiigx                                | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | STRATIXIIGX VHDL LIBRARY
stratixgx                                  | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | STRATIXGX VHDL LIBRARY
cycloneiiils                               | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | CYCLONEIIILS VHDL LIBRARY
altera_mf                                  | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | ALTERA_MF VHDL LIBRARY
stratixv_hssi                              | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | STRATIXV_HSSI VHDL LIBRARY
stratixiv_pcie_hip                         | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | STRATIXIV_PCIE_HIP VHDL LIBRARY
alt_vtl                                    | RO    | ALTERA   | ALTERA MAX+plus II 10.2                          | ALT_VTL VHDL TIMING LIBRARY 
stratixiii                                 | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | STRATIXIII VHDL LIBRARY
cycloneiv_pcie_hip                         | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | CYCLONEIV_PCIE_HIP VHDL LIBRARY
hardcopyiv_pcie_hip                        | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | HARDCOPYIV_PCIE_HIP VHDL LIBRARY
cycloneii                                  | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | CYCLONEII VHDL LIBRARY
cycloneiv_hssi                             | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | CYCLONEIV_HSSI VHDL LIBRARY
arriagx_hssi                               | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | ARRIAGX_HSSI VHDL LIBRARY
arriaii_hssi                               | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | ARRIAII_HSSI VHDL LIBRARY
stratixgx_gxb                              | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | STRATIXGX_GXB VHDL LIBRARY
lpm                                        | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | LPM  VHDL LIBRARY
stratixiigx_hssi                           | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | STRATIXGX_HSSI VHDL LIBRARY
maxii                                      | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | MAXII VHDL LIBRARY
cycloneiii                                 | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | CYCLONEIII VHDL LIBRARY
hardcopyii                                 | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | HARDCOPYII VHDL LIBRARY
cycloneiv                                  | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | CYCLONEIV VHDL LIBRARY
stratixv                                   | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | STRATIXV VHDL LIBRARY
arriagx                                    | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | ARRIAGX VHDL LIBRARY
altgxb                                     | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | ALTGXB VHDL LIBRARY
cycloneive                                 | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | CYCLONEIVE VHDL LIBRARY
arriaii_pcie_hip                           | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | ARRIAII_PCIE_HIP VHDL LIBRARY
stratixiv                                  | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | STRATIXIV VHDL LIBRARY
cyclone                                    | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | CYCLONE VHDL LIBRARY
sgate                                      | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | SGATE  VHDL LIBRARY
hardcopyiv                                 | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | HARDCOPYIV VHDL LIBRARY
altera                                     | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | ALTERA VHDL LIBRARY
max                                        | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | MAX VHDL LIBRARY
stratixii                                  | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | STRATIXII VHDL LIBRARY
stratixiv_hssi                             | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | STRATIXIV_HSSI VHDL LIBRARY
stratixv_pcie_hip                          | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | STRATIXV_PCIE_HIP VHDL LIBRARY
stratix                                    | RO    | ALTERA   | ALTERA QUARTUS II 10.0 SP1                       | STRATIX  VHDL LIBRARY
exemplar                                   | RO    | MENTOR   | MENTOR GRAPHICS PRECISION RTL SYNTHESIS 2009a.76 | EXEMPLAR VHDL LIBRARY.
virtex6_pcie_v1_05_a                       | RW    | No Data  | No Data                                          | No Data
axi_protocol_checker_v1_00_a               | RW    | No Data  | No Data                                          | No Data
hwicap_v6_00_a                             | RW    | No Data  | No Data                                          | No Data
plbv46_master_burst_v1_01_a                | RW    | No Data  | No Data                                          | No Data
xps_can_v3_00_a                            | RW    | No Data  | No Data                                          | No Data
cdn_axi4_slave_bfm_wrap_v2_00_a            | RW    | No Data  | No Data                                          | No Data
cdn_axi4_lite_master_bfm_wrap_v2_00_a      | RW    | No Data  | No Data                                          | No Data
ppc440_virtex5_v1_01_a                     | RW    | No Data  | No Data                                          | No Data
xps_iic_v2_01_a                            | RW    | No Data  | No Data                                          | No Data
plb_v46_v1_05_a                            | RW    | No Data  | No Data                                          | No Data
xps_sysmon_adc_v3_00_a                     | RW    | No Data  | No Data                                          | No Data
virtex6_pcie_v1_06_a                       | RW    | No Data  | No Data                                          | No Data
xps_ll_fifo_v1_02_a                        | RW    | No Data  | No Data                                          | No Data
plbv46_pci_v1_04_a                         | RW    | No Data  | No Data                                          | No Data
xps_uartlite_v1_01_a                       | RW    | No Data  | No Data                                          | No Data
lmb_v10_v1_00_a                            | RW    | No Data  | No Data                                          | No Data
fsl_v20_v2_11_c                            | RW    | No Data  | No Data                                          | No Data
plbv46_slave_v1_02_a                       | RW    | No Data  | No Data                                          | No Data
dcr_v29_v1_00_b                            | RW    | No Data  | No Data                                          | No Data
xps_iic_v2_03_a                            | RW    | No Data  | No Data                                          | No Data
