# This stimuli file tests the packet buffer memory.

################################################################################
# 1. Memory test
# 1.1 DWORD
# 1.2 WORD
# 1.3 BYTE
# 1.4 Clear test buffer
################################################################################

# 1.1
WR d 00000000 00000001
WR d 00000004 00000002
WR d 00000008 00000003
WR d 0000000C 00000004
WR d 00000010 00000005
WR d 00000014 00000006
WR d 00000018 00000007
WR d 0000001C 00000008

ASS d 00000000 00000001
ASS d 00000004 00000002
ASS d 00000008 00000003
ASS d 0000000C 00000004
ASS d 00000010 00000005
ASS d 00000014 00000006
ASS d 00000018 00000007
ASS d 0000001C 00000008

# 1.2
WR w 00000000 0001
WR w 00000002 0002
WR w 00000004 0003
WR w 00000006 0004
WR w 00000008 0005
WR w 0000000A 0006
WR w 0000000C 0007
WR w 0000000E 0008

ASS w 00000000 0001
ASS w 00000002 0002
ASS w 00000004 0003
ASS w 00000006 0004
ASS w 00000008 0005
ASS w 0000000A 0006
ASS w 0000000C 0007
ASS w 0000000E 0008

# 1.3
WR b 00000000 01
WR b 00000001 02
WR b 00000002 03
WR b 00000003 04
WR b 00000004 05
WR b 00000005 06
WR b 00000006 07
WR b 00000007 08

ASS b 00000000 01
ASS b 00000001 02
ASS b 00000002 03
ASS b 00000003 04
ASS b 00000004 05
ASS b 00000005 06
ASS b 00000006 07
ASS b 00000007 08

# 1.4
WR d 00000000 00000000
WR d 00000004 00000000
WR d 00000008 00000000
WR d 0000000C 00000000
WR d 00000010 00000000
WR d 00000014 00000000
WR d 00000018 00000000
WR d 0000001C 00000000

################################################################################
# 2. Set Tx packet
# 2.1 Write counting byte starting at address 0x0200
# 2.2 Check Tx packet again
################################################################################

# 2.1    0380
WR d 00000300 03020100
WR d 00000304 07060504
WR d 00000308 0B0A0908
WR d 0000030C 0F0E0D0C
WR d 00000310 13121110
WR d 00000314 17161514
WR d 00000318 1B1A1918
WR d 0000031C 1F1E1D1C
WR d 00000320 23222120
WR d 00000324 27262524
WR d 00000328 2B2A2928
WR d 0000032C 2F2E2D2C
WR d 00000330 33323130
WR d 00000334 37363534
WR d 00000338 3B3A3938
WR d 0000033C 3F3E3D3C
WR d 00000340 43424140
WR d 00000344 47464544
WR d 00000348 4B4A4948
WR d 0000034C 4F4E4D4C
WR d 00000350 53525150
WR d 00000354 57565554
WR d 00000358 5B5A5958
WR d 0000035C 5F5E5D5C
WR d 00000360 63626160
WR d 00000364 67666564
WR d 00000368 6B6A6968
WR d 0000036C 6F6E6D6C

# 2.2
ASS d 00000300 03020100
ASS d 00000304 07060504
ASS d 00000308 0B0A0908
ASS d 0000030C 0F0E0D0C
ASS d 00000310 13121110
ASS d 00000314 17161514
ASS d 00000318 1B1A1918
ASS d 0000031C 1F1E1D1C
ASS d 00000320 23222120
ASS d 00000324 27262524
ASS d 00000328 2B2A2928
ASS d 0000032C 2F2E2D2C
ASS d 00000330 33323130
ASS d 00000334 37363534
ASS d 00000338 3B3A3938
ASS d 0000033C 3F3E3D3C
ASS d 00000340 43424140
ASS d 00000344 47464544
ASS d 00000348 4B4A4948
ASS d 0000034C 4F4E4D4C
ASS d 00000350 53525150
ASS d 00000354 57565554
ASS d 00000358 5B5A5958
ASS d 0000035C 5F5E5D5C
ASS d 00000360 63626160
ASS d 00000364 67666564
ASS d 00000368 6B6A6968
ASS d 0000036C 6F6E6D6C

################################################################################
# 3. Read Rx packet
# 3.1 Wait for Rx packet done (read CRC)
# 3.2 Check Rx packet memory buffer
################################################################################

# 3.1 Wait for Rx packet done (read CRC)
WAIT d 0000013C 9F160C49

# 3.2 Check Rx packet memory buffer
ASS d 00000100 001E1101
ASS d 00000104 60000100
ASS d 00000108 3E5A1865
ASS d 0000010C FF01AB88
ASS d 00000110 004000F0
ASS d 00000114 4598B397
ASS d 00000118 1918414C
ASS d 0000011C 00D11E46
ASS d 00000120 00000001
ASS d 00000124 00000000
ASS d 00000128 00000000
ASS d 0000012C 00000000
ASS d 00000130 00000000
ASS d 00000134 00000000
ASS d 00000138 00000000
ASS d 0000013C 9F160C49

FIN
